gene,bin,mean_normalized_counts,fraction_detected,n_cells,pseudotime,pseudotime_percentile
Hes6,5,0.556414002776727,0.45454545454545453,33,0.02361197294719931,0.0457213469261662
Hes6,6,0.6494512900651807,0.5454545454545454,33,0.024740094466878405,0.05591597157862218
Hes6,7,0.6640070614645822,0.45454545454545453,33,0.025723791030859876,0.06611059623107816
Hes6,8,1.3266581125489998,0.6363636363636364,33,0.02678643583887934,0.07630522088353414
Hes6,9,0.8447612268670501,0.5454545454545454,33,0.027783185702052772,0.08649984553599012
Hes6,10,0.7445859734033964,0.45454545454545453,33,0.02847643482365652,0.0966944701884461
Hes6,11,0.704799772476926,0.6060606060606061,33,0.02925801560130067,0.10688909484090207
Hes6,12,0.8552575196175531,0.6060606060606061,33,0.029784000153257863,0.11708371949335805
Hes6,13,0.7783604734179717,0.6666666666666666,33,0.030314556279739897,0.12727834414581402
Hes6,14,1.0014006564592304,0.6363636363636364,33,0.03085266206950408,0.13747296879827
Hes6,15,1.0376086383358791,0.7575757575757576,33,0.03132819929198454,0.14766759345072597
Hes6,16,1.0812165825996223,0.6666666666666666,33,0.03177350391716678,0.15786221810318196
Hes6,17,1.5346634810864392,0.696969696969697,33,0.032090589412770154,0.16805684275563793
Hes6,18,1.0551118527374126,0.7575757575757576,33,0.03250010390148368,0.17825146740809392
Hes6,19,0.9113492667879542,0.6666666666666666,33,0.032843447920107495,0.18844609206054988
Hes6,20,1.6291478391378278,0.7272727272727273,33,0.033225476824060025,0.19864071671300587
Hes6,21,1.0913358621441271,0.7272727272727273,33,0.03356329170299936,0.20883534136546184
Hes6,22,1.3777963934086692,0.6363636363636364,33,0.033876821598699446,0.21902996601791783
Hes6,23,1.0289917717748907,0.5757575757575758,33,0.0341749189417309,0.2292245906703738
Hes6,24,1.2576922036227662,0.696969696969697,33,0.03442976930895895,0.23941921532282978
Hes6,25,1.0823460898313504,0.6363636363636364,33,0.03473031283637215,0.24961383997528575
Hes6,26,1.9866012838704297,0.7878787878787878,33,0.03503545453427557,0.2598084646277417
Hes6,27,1.202601899425726,0.5454545454545454,33,0.03528721856376664,0.27000308928019773
Hes6,28,1.472361625523217,0.5757575757575758,33,0.035495733450794986,0.2801977139326537
Hes6,29,1.4198446622073562,0.7878787878787878,33,0.035795529951120134,0.29039233858510966
Hes6,30,0.9823142784537465,0.5454545454545454,33,0.036018793107163986,0.3005869632375657
Hes6,31,1.2918364831603393,0.7272727272727273,33,0.03632329342547735,0.31078158789002164
Hes6,32,1.338269246956673,0.6363636363636364,33,0.03665938250865137,0.3209762125424776
Hes6,33,0.865950351598697,0.696969696969697,33,0.036920902919849195,0.33117083719493356
Hes6,34,1.5785473596748252,0.7272727272727273,33,0.037180712209986005,0.3413654618473896
Hes6,35,1.5999921682850644,0.7575757575757576,33,0.03742229046436196,0.35156008649984555
Hes6,36,1.2782586098265112,0.6060606060606061,33,0.03777211183988282,0.3617547111523015
Hes6,37,0.9398992055465568,0.7878787878787878,33,0.038040795856697146,0.3719493358047575
Hes6,38,1.03579789891372,0.7575757575757576,33,0.03822622895731367,0.3821439604572135
Hes6,39,1.3432451243696728,0.78125,32,0.038491481515323514,0.39218412109978373
Hes6,40,0.9195532672294526,0.5,32,0.038746929041181474,0.4020698177324683
Hes6,41,1.5714136138908414,0.71875,32,0.03897750836631303,0.4119555143651529
Hes6,42,1.1292862618915491,0.71875,32,0.03936579148389517,0.42184121099783756
Hes6,43,0.8262637791964978,0.75,32,0.03961982025406566,0.4317269076305221
Hes6,44,0.7074441952432223,0.59375,32,0.039864421079005924,0.4416126042632067
Hes6,45,1.0559262214992946,0.6875,32,0.040142447114147106,0.45149830089589127
Hes6,46,0.633515287273104,0.6875,32,0.0403945227388844,0.46138399752857584
Hes6,47,1.3089066035503258,0.71875,32,0.04054763486594743,0.4712696941612604
Hes6,48,1.6581277509101158,0.84375,32,0.04082130643932847,0.481155390793945
Hes6,49,0.9559013480876102,0.59375,32,0.041082345957333635,0.49104108742662955
Hes6,50,1.1603728918021112,0.78125,32,0.0413755448524403,0.5009267840593141
Hes6,51,1.470122056198408,0.71875,32,0.0416228075299233,0.5108124806919987
Hes6,52,0.6842676572913704,0.6875,32,0.0417945740595377,0.5206981773246834
Hes6,53,1.2622841712678985,0.65625,32,0.04204021695776633,0.530583873957368
Hes6,54,1.0287478130780616,0.65625,32,0.042379110075272355,0.5404695705900525
Hes6,55,1.6186451926794072,0.8125,32,0.04259262945331393,0.5503552672227371
Hes6,56,1.3916020314772388,0.78125,32,0.042856389716281584,0.5602409638554218
Hes6,57,1.2803693847462214,0.6875,32,0.04308347652806578,0.5701266604881063
Hes6,58,1.3283322811826306,0.71875,32,0.04339734147804594,0.5800123571207909
Hes6,59,1.1280578803849592,0.71875,32,0.043671170167973575,0.5898980537534755
Hes6,60,0.8617759154122775,0.71875,32,0.04394104196009762,0.59978375038616
Hes6,61,0.9798946922575259,0.75,32,0.04426907711589678,0.6096694470188446
Hes6,62,0.8178557466077719,0.78125,32,0.04447458242381004,0.6195551436515292
Hes6,63,0.7109115568881432,0.6875,32,0.044780068609678744,0.6294408402842138
Hes6,64,1.0215122035456101,0.78125,32,0.04507340731934226,0.6393265369168983
Hes6,65,0.9643833140564433,0.78125,32,0.04531082992413251,0.6492122335495829
Hes6,66,0.9532390997725012,0.78125,32,0.04559341416059682,0.6590979301822675
Hes6,67,1.4614145323375964,0.71875,32,0.04589608755266486,0.668983626814952
Hes6,68,0.7751231860288522,0.5625,32,0.046210075166656886,0.6788693234476366
Hes6,69,1.0623937410766242,0.65625,32,0.046683477550757774,0.6887550200803213
Hes6,70,1.201548057792862,0.84375,32,0.04705700543221022,0.6986407167130059
Hes6,71,0.5318490610265632,0.65625,32,0.047383191705377886,0.7085264133456904
Hes6,72,0.5282669561380496,0.625,32,0.0477297963710159,0.718412109978375
Hes6,73,0.8370677436216936,0.71875,32,0.04819057723965111,0.7282978066110597
Hes6,74,0.6771051724406314,0.71875,32,0.04873644982230882,0.7381835032437443
Hes6,75,0.9485879380498095,0.71875,32,0.04905034470446588,0.7480691998764288
Hes6,76,0.915114934060837,0.71875,32,0.04939576656215451,0.7579548965091134
Hes6,77,0.43646925728214103,0.65625,32,0.04988861057417274,0.767840593141798
Hes6,78,0.7555295803177728,0.6875,32,0.05046289437853513,0.7777262897744825
Hes6,79,0.5859145089551809,0.78125,32,0.050960722793626234,0.7876119864071671
Hes6,80,0.4016090153354609,0.59375,32,0.05158747906543623,0.7974976830398517
Hes6,81,1.2325556667002346,0.6875,32,0.05250470777610536,0.8073833796725363
Hes6,82,0.6907545710543618,0.59375,32,0.053436528526220724,0.8172690763052208
Hes6,83,0.8945620180795169,0.75,32,0.05472940920510003,0.8271547729379054
Hes6,84,0.8365696706062815,0.8125,32,0.05685558327615577,0.83704046957059
Hes6,85,2.4005339081852775,0.71875,32,0.06025537083462772,0.8469261662032747
Hes6,86,2.913385346814122,0.65625,32,0.06456773886631356,0.8568118628359592
Hes6,87,3.7822220262414916,0.625,32,0.07257623400447025,0.8666975594686438
Hes6,88,3.6073564777126315,0.5,32,0.08056335200784079,0.8765832561013284
Hes6,89,3.448985719018164,0.5,32,0.08959745021944521,0.886468952734013
Hes6,90,4.027864839437252,0.5,32,0.1071315200085631,0.8963546493666976
Hes6,91,3.168416586785089,0.75,32,0.14946643207246757,0.9062403459993822
Hes6,92,0.6517183377926864,0.5625,32,0.2578927814876444,0.9161260426320668
Hes6,93,1.3817947902425283,0.5,32,0.2927194819855192,0.9260117392647513
Hes6,94,2.338977040543162,0.59375,32,0.45739215061730115,0.9358974358974359
Hes6,95,1.2830718363132527,0.6875,32,0.5353071746021729,0.9457831325301205
Hes6,96,0.9881687881473326,0.53125,32,0.5788866642645688,0.955668829162805
Hes6,97,0.8715042022544047,0.59375,32,0.6097483955513862,0.9655545257954896
Hes6,98,0.8550063946822789,0.6875,32,0.6326083440412348,0.9754402224281742
Hes6,99,0.8688843187480999,0.75,32,0.6746074479973074,0.9853259190608588
Hes6,100,0.6218060945942093,0.75,32,0.7355573101105116,0.9952116156935433
Otx2,1,0,0,33,0.008315008450185363,0.004942848316342292
Otx2,2,0.022787660026342523,0.030303030303030304,33,0.016807143036938733,0.01513747296879827
Otx2,3,0,0,33,0.019297837129523727,0.025332097621254247
Otx2,4,0,0,33,0.021768773646141514,0.035526722273710225
Otx2,5,0,0,33,0.02361197294719931,0.0457213469261662
Otx2,6,0,0,33,0.024740094466878405,0.05591597157862218
Otx2,7,0,0,33,0.025723791030859876,0.06611059623107816
Otx2,8,0.017363643309093693,0.030303030303030304,33,0.02678643583887934,0.07630522088353414
Otx2,9,0,0,33,0.027783185702052772,0.08649984553599012
Otx2,10,0,0,33,0.02847643482365652,0.0966944701884461
Otx2,11,0,0,33,0.02925801560130067,0.10688909484090207
Otx2,12,0,0,33,0.029784000153257863,0.11708371949335805
Otx2,13,0.01771485461418817,0.030303030303030304,33,0.030314556279739897,0.12727834414581402
Otx2,14,0.029834626664399247,0.030303030303030304,33,0.03085266206950408,0.13747296879827
Otx2,15,0,0,33,0.03132819929198454,0.14766759345072597
Otx2,16,0,0,33,0.03177350391716678,0.15786221810318196
Otx2,17,0.015520912878011838,0.030303030303030304,33,0.032090589412770154,0.16805684275563793
Otx2,18,0.015800933519152318,0.030303030303030304,33,0.03250010390148368,0.17825146740809392
Otx2,19,0,0,33,0.032843447920107495,0.18844609206054988
Otx2,20,0,0,33,0.033225476824060025,0.19864071671300587
Otx2,21,0,0,33,0.03356329170299936,0.20883534136546184
Otx2,22,0.03287393383654916,0.06060606060606061,33,0.033876821598699446,0.21902996601791783
Otx2,23,0,0,33,0.0341749189417309,0.2292245906703738
Otx2,24,0,0,33,0.03442976930895895,0.23941921532282978
Otx2,25,0.019464947522501472,0.030303030303030304,33,0.03473031283637215,0.24961383997528575
Otx2,26,0,0,33,0.03503545453427557,0.2598084646277417
Otx2,27,0,0,33,0.03528721856376664,0.27000308928019773
Otx2,28,0,0,33,0.035495733450794986,0.2801977139326537
Otx2,29,0,0,33,0.035795529951120134,0.29039233858510966
Otx2,30,0.021942817018848884,0.030303030303030304,33,0.036018793107163986,0.3005869632375657
Otx2,31,0,0,33,0.03632329342547735,0.31078158789002164
Otx2,32,0.009627038886498174,0.030303030303030304,33,0.03665938250865137,0.3209762125424776
Otx2,33,0,0,33,0.036920902919849195,0.33117083719493356
Otx2,34,0,0,33,0.037180712209986005,0.3413654618473896
Otx2,35,0,0,33,0.03742229046436196,0.35156008649984555
Otx2,36,0,0,33,0.03777211183988282,0.3617547111523015
Otx2,37,0.05282922199817478,0.06060606060606061,33,0.038040795856697146,0.3719493358047575
Otx2,38,0.1749893744020613,0.06060606060606061,33,0.03822622895731367,0.3821439604572135
Otx2,39,0,0,32,0.038491481515323514,0.39218412109978373
Otx2,40,0,0,32,0.038746929041181474,0.4020698177324683
Otx2,41,0.02064510680094803,0.0625,32,0.03897750836631303,0.4119555143651529
Otx2,42,0,0,32,0.03936579148389517,0.42184121099783756
Otx2,43,0.02342182012017037,0.0625,32,0.03961982025406566,0.4317269076305221
